Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
35800175	2021-01-01	Criminal (New Zealand)	Dissident,Criminals / Gangs	New Zealand	Use unconventional violence	180	-9	Citizen (New Zealand)	General Population / Civilian / Social,Social	New Zealand	52360270	5	New Zealand Herald				New Zealand	-41.2833	174.767
35800190	2021-01-01	Pakistan		Pakistan	fight with small arms and light weapons	193	-10	Military (India)	Government,Military	India	52360294	1	Hindustan Times	Nowshera		Khyber Pakhtunkhwa Province	Pakistan	34.0058	71.9977
35800166	2021-01-01	Combatant (French Air Force)	Air Force,Government,Military	France	Express intent to meet or negotiate	036	4	India		India	52360295	1	Hindustan Times			State of Rajasthan	India	26	74
35800194	2021-01-01	Farm Worker (India)	Social,Agricultural	India	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		52360297	1	Indo-Asian News Service	Baghpat		State of Uttar Pradesh	India	28.9444	77.2188
35800195	2021-01-01	Farm Worker (India)	Social,Agricultural	India	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		52360297	2	Indo-Asian News Service	Baghpat		State of Uttar Pradesh	India	28.9444	77.2188
35800185	2021-01-01	Attacker (Iran)	Dissident,Criminals / Gangs	Iran	Kill by physical assault	1823	-10	Citizen (Iran)	Social,General Population / Civilian / Social	Iran	52360301	3	FARS News Agency	Tehran		Tehran Province	Iran	35.6944	51.4215
35800197	2021-01-01	Military (United States)	Military,Government	United States	fight with small arms and light weapons	193	-10	Children (Syria)	Social,General Population / Civilian / Social	Syria	52360306	1	FARS News Agency	Hasaka		Muhafazat al Hasakah	Syria	36.5024	40.7477
35800196	2021-01-01	Saba News Agency	State Media,Information / Communication / Transparency Ministry,Executive,Government	Yemen	Make statement	010	0	Israel		Israel	52360307	6	FARS News Agency	Tel Aviv		Tel Aviv District	Israel	32.0809	34.7806
35800178	2021-01-01	European Parliament	International Government Organization,Regional Diplomatic IGOs,Regional		Make statement	010	0	Daily Mail	Social,Print News,Ideological,Media,News,Far Right	United Kingdom	52360311	2	FARS News Agency	Tehran		Tehran Province	Iran	35.6944	51.4215
35800163	2021-01-01	Armed Band (Afghanistan)	Unidentified Forces	Afghanistan	Assassinate	186	-10	Citizen (Afghanistan)	General Population / Civilian / Social,Social	Afghanistan	52360314	3	BBC Monitoring South Asia	Shadah		Kandahar	Afghanistan	31.9432	65.9882
35800160	2021-01-01	Foreign Affairs (Ukraine)	Executive,Foreign Ministry,Government	Ukraine	Praise or endorse	051	3.4	Ann Linde	Foreign Ministry,Government,Executive	Sweden	52360323	1	Unknown	Kiev		Misto Kyyiv	Ukraine	50.4547	30.5238
35800161	2021-01-01	Foreign Affairs (Ukraine)	Executive,Foreign Ministry,Government	Ukraine	Praise or endorse	051	3.4	Organization for Security and Cooperation in Europe	International Government Organization,Regional,Regional Defense / Security IGOs		52360323	3	Unknown	Kiev		Misto Kyyiv	Ukraine	50.4547	30.5238
35800177	2021-01-01	Microsoft	Business,Multinational Corporation,Social,Science / Tech / Knowledge / Innovation Business		Make statement	010	0	Hacker (Russia)	Criminals / Gangs,Dissident	Russian Federation	52360330	3	Indo-Asian News Service	New Delhi		National Capital Territory of Delhi	India	28.6358	77.2244
35800187	2021-01-01	Government (United Kingdom)	Government	United Kingdom	Demand	100	-5	Education (United Kingdom)	Education,Social	United Kingdom	52360334	1	Unknown			England	United Kingdom	53	-2
35800171	2021-01-01	Bulgaria		Bulgaria	Provide humanitarian aid	073	7.4	Croatia		Croatia	52360337	1	Bulgarian News Agency	Sofia	Stolichna Obshtina	Sofiya-Grad	Bulgaria	42.6975	23.3242
35800199	2021-01-01	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	Consult	040	1	Andrzej Duda	Elite,Executive,Executive Office,Government	Poland	52360338	4	BBC Monitoring Ukraine & Baltics				Ukraine	50.4547	30.5238
35800200	2021-01-01	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	Consult	040	1	Recep Tayyip Erdoğan	Executive Office,Government,Executive,Sunni,Center Right,Ideological,Elite,Parties,International Religious,(National) Major Party	Turkey	52360338	4	BBC Monitoring Ukraine & Baltics				Ukraine	50.4547	30.5238
35800201	2021-01-01	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	Consult	040	1	Boris Johnson	Executive,Elite,Center Right,Ideological,Executive Office,Government,Parties,(National) Major Party	United Kingdom	52360338	4	BBC Monitoring Ukraine & Baltics				Ukraine	50.4547	30.5238
35800202	2021-01-01	Donald Trump	Executive,Executive Office,Government	United States	Consult	040	1	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	52360338	4	BBC Monitoring Ukraine & Baltics	Cambridge	Lafayette County	Mississippi	United States	34.4529	-89.374
35800203	2021-01-01	Andrzej Duda	Elite,Executive,Executive Office,Government	Poland	Consult	040	1	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	52360338	4	BBC Monitoring Ukraine & Baltics				Poland	52.2298	21.0118
35800204	2021-01-01	Recep Tayyip Erdoğan	Executive Office,Government,Executive,Sunni,Center Right,Ideological,Elite,Parties,International Religious,(National) Major Party	Turkey	Consult	040	1	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	52360338	4	BBC Monitoring Ukraine & Baltics				Turkey	39.9167	32.8333
35800205	2021-01-01	Boris Johnson	Executive,Elite,Center Right,Ideological,Executive Office,Government,Parties,(National) Major Party	United Kingdom	Consult	040	1	Volodymyr Zelensky	Executive,Elite,Executive Office,Government	Ukraine	52360338	4	BBC Monitoring Ukraine & Baltics	Cambridge	Cambridgeshire	England	United Kingdom	52.2	0.11667
35800206	2021-01-01	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Consult	040	1	Donald Trump	Executive,Executive Office,Government	United States	52360338	4	BBC Monitoring Ukraine & Baltics	Cambridge	Lafayette County	Mississippi	United States	34.4529	-89.374
35800164	2021-01-01	Benjamin Netanyahu	Foreign Ministry,International Ethnic,Parties,Jews,(National) Major Party,Executive Office,Government,Executive,Ideological,Center Right,Elite	Israel	Make a visit	042	1.9	Israel		Israel	52360339	6	BBC Monitoring Middle East				Israel	31.779	35.2253
35800165	2021-01-01	Israel		Israel	Host a visit	043	2.8	Benjamin Netanyahu	Foreign Ministry,International Ethnic,Parties,Jews,(National) Major Party,Executive Office,Government,Executive,Ideological,Center Right,Elite	Israel	52360339	6	BBC Monitoring Middle East				Israel	31.779	35.2253
35800192	2021-01-01	Presidential Candidate (Nigeria)	Parties	Nigeria	Demonstrate or rally	141	-6.5	Government (Nigeria)	Government	Nigeria	52360340	2	BBC Monitoring Africa	Abuja		Federal Capital Territory	Nigeria	9.05785	7.49508
35800191	2021-01-01	Presidential Candidate (Nigeria)	Parties	Nigeria	Make an appeal or request	020	3	Citizen (Nigeria)	General Population / Civilian / Social,Social	Nigeria	52360340	3	BBC Monitoring Africa	Abuja		Federal Capital Territory	Nigeria	9.05785	7.49508
35800193	2021-01-01	Citizen (Nigeria)	General Population / Civilian / Social,Social	Nigeria	Demonstrate or rally	141	-6.5	Government (Nigeria)	Government	Nigeria	52360340	3	BBC Monitoring Africa	Abuja		Federal Capital Territory	Nigeria	9.05785	7.49508
35800207	2021-01-01	Pakistan		Pakistan	Share intelligence or information	064	7	India		India	52360348	1	Xinhua News Agency	Islamabad		Islamabad Capital Territory	Pakistan	33.7215	73.0433
